Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Reese Johnson,20242025,MIN,R,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9:32,--
Jake Lucchini,20242025,NSH,L,C,3,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,2,0,11:29,50
Corey Schueneman,20242025,STL,L,D,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14:03,--
Mason Morelli,20242025,VGK,L,L,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,7:31,--
Jimmy Schuldt,20242025,SJS,L,D,8,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,4,0,13:47,--
Matthew Robertson,20242025,NYR,L,D,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,17:38,--
Raphael Lavoie,20242025,VGK,R,C,9,0,0,0,-4,2,0,0,0,0,0,0,0,0,0,10,0,10:05,0
Daniil Misyul,20242025,NJD,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,12:23,--
Samuel Bolduc,20242025,NYI,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,5:56,--
Domenick Fensore,20242025,CAR,L,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,19:04,--
Ryan Johnson,20242025,BUF,L,D,3,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,3,0,17:40,--
Ryan Suzuki,20242025,CAR,L,C,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,--,6:36,57.1
Nathan Légaré,20242025,NJD,R,R,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3,0,10:41,--
Tobias Bjornfot,20242025,FLA,L,D,14,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,10,0,13:06,--
Maxwell Crozier,20242025,TBL,R,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,16:41,--
Matt Stienburg,20242025,COL,R,C,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,6:05,--
Jacob Gaucher,20242025,PHI,R,C,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7:21,66.7
Connor Mackey,20242025,NYR,L,D,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,16:08,--
Jack Ahcan,20242025,COL,L,D,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,15:48,--
Jack Finley,20242025,TBL,R,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8:25,60
Daemon Hunt,20242025,MIN,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8:01,--
Vasily Ponomarev,20242025,PIT,L,C,7,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,8,0,10:02,51.9
Donovan Sebrango,20242025,OTT,L,D,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,10:19,--
Thomas Bordeleau,20242025,SJS,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10:38,100
Brendan Brisson,20242025,VGK,L,C,9,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,7,0,9:52,--
Riley Duran,20242025,BOS,R,C,2,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,5,0,12:44,50
Chase Bradley,20242025,COL,L,L,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:35,--
Josh Dunne,20242025,BUF,L,C,2,0,0,0,-3,5,0,0,0,0,0,0,0,0,0,1,0,7:06,28.6
Oskar Olausson,20242025,COL,L,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6:49,--
Ryan Ufko,20242025,NSH,R,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,15:37,--
James Malatesta,20242025,CBJ,L,L,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,10:34,100
Carter Mazur,20242025,DET,R,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,1:10,--
Michael Milne,20242025,MIN,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,6:34,--
Jacob Melanson,20242025,SEA,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,9:53,--
Frederic Brunet,20242025,BOS,L,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,14:23,--
Ryan Greene,20242025,CHI,R,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13:12,33.3
Devin Kaplan,20242025,PHI,R,R,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,--,12:12,--
Joakim Kemell,20242025,NSH,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10:21,--
Kirill Kudryavtsev,20242025,VAN,L,D,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,14:08,--
Tristan Luneau,20242025,ANA,R,D,6,0,0,0,-5,2,0,0,0,0,0,0,0,0,0,6,0,16:33,--
Noah Ostlund,20242025,BUF,L,C,8,0,0,0,-6,2,0,0,0,0,0,0,0,0,0,4,0,10:33,36.4
Brian Halonen,20242025,NJD,R,L,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,0,13:54,--
Owen Sillinger,20242025,CBJ,L,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,--,13:09,40
Ben Meyers,20242025,SEA,L,C,8,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,4,0,8:21,49
Nikita Grebenkin,20242025,TOR,L,R,7,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,2,0,8:45,100
Hunter Brzustewicz,20242025,CGY,R,D,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,18:23,--
Dalibor Dvorsky,20242025,STL,L,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9:25,50
Samuel Honzek,20242025,CGY,L,L,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,6,0,12:24,0
Gabe Perreault,20242025,NYR,L,R,5,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,5,0,14:26,0
Aydar Suniev,20242025,CGY,L,L,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,14:48,--
Jason Polin,20242025,COL,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5:11,100
Ty Mueller,20242025,VAN,L,C,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,10:18,33.3
Jett Luchanko,20242025,PHI,R,C,4,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,3,0,14:03,46
Jacob Quillan,20242025,TOR,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,5:21,--
Jere Innala,20242025,COL,L,L,17,0,0,0,-3,2,0,0,0,0,0,0,0,0,0,8,0,7:09,33.3
Nikita Prishchepov,20242025,COL,L,C,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6:22,--
Jack Williams,20242025,CBJ,R,R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,--,11:09,45.5
Karsen Dorwart,20242025,PHI,L,L,5,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,4,0,10:59,40
Quinn Hutson,20242025,EDM,R,R,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,13:26,--
Tim Washe,20242025,ANA,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7:44,50
