Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Andrew Copp,20242025,DET,L,C,56,10,13,23,4,8,0.41,9,21,0,1,1,1,0,2,67,14.9,14:42,50.7
Charlie McAvoy,20242025,BOS,R,D,50,7,16,23,0,46,0.46,4,18,2,4,1,1,0,2,98,7.1,23:40,--
Ryan Pulock,20242025,NYI,R,D,74,5,18,23,2,16,0.31,4,19,1,2,0,2,0,1,97,5.2,21:05,--
Jake McCabe,20242025,TOR,L,D,66,2,21,23,23,40,0.35,2,22,0,0,0,1,0,0,74,2.7,21:31,--
Paul Cotter,20242025,NJD,L,C,79,16,6,22,-14,62,0.28,16,22,0,0,0,0,0,2,90,17.8,13:05,52.6
Nicholas Robertson,20242025,TOR,L,L,69,15,7,22,-1,16,0.32,13,20,2,2,0,0,0,3,112,13.4,12:00,42.9
Thomas Novak,20242025,"NSH,PIT",L,C,54,13,9,22,-7,4,0.41,12,17,1,5,0,0,0,2,92,14.1,13:14,42.7
Justin Brazeau,20242025,"BOS,MIN",R,R,76,11,11,22,-9,18,0.29,7,17,4,5,0,0,0,3,89,12.4,11:52,23.1
Lars Eller,20242025,"PIT,WSH",L,C,80,10,12,22,-5,36,0.28,10,21,0,1,0,0,0,0,104,9.6,13:17,52.2
Mason Appleton,20242025,WPG,R,C,71,10,12,22,7,22,0.31,10,21,0,1,0,0,0,3,107,9.4,14:50,45.5
Brandon Tanev,20242025,"SEA,WPG",L,L,79,10,12,22,-12,16,0.28,10,22,0,0,0,0,0,0,99,10.1,13:14,22.6
Kirby Dach,20242025,MTL,R,C,57,10,12,22,-29,40,0.39,9,15,1,7,0,0,0,2,84,11.9,15:40,40.3
Lukas Reichel,20242025,CHI,L,L,70,8,14,22,-16,12,0.31,8,20,0,2,0,0,0,1,72,11.1,11:55,39.9
Niko Mikkola,20242025,FLA,L,D,76,6,16,22,12,70,0.29,6,22,0,0,0,0,0,0,116,5.2,20:12,--
Cody Glass,20242025,"PIT,NJD",R,C,65,6,16,22,-5,16,0.34,5,20,1,2,0,0,0,1,91,6.6,13:39,51.4
Nikita Zadorov,20242025,BOS,L,D,81,4,18,22,25,145,0.27,4,20,0,0,0,2,0,0,105,3.8,20:37,--
Ryan Lindgren,20242025,"NYR,COL",L,D,72,4,18,22,0,40,0.31,4,20,0,0,0,2,0,0,63,6.4,19:42,--
Brian Dumoulin,20242025,"ANA,NJD",L,D,80,3,19,22,-1,14,0.28,3,22,0,0,0,0,1,1,69,4.4,19:33,--
Erik Haula,20242025,NJD,L,L,69,11,10,21,-6,39,0.3,9,16,2,5,0,0,0,1,110,10,14:42,52.6
Michael Rasmussen,20242025,DET,L,C,77,11,10,21,-12,24,0.27,9,17,2,4,0,0,0,1,99,11.1,13:25,46.4
Garnet Hathaway,20242025,PHI,R,R,67,10,11,21,5,58,0.31,8,19,0,0,2,2,0,1,80,12.5,11:52,36.8
Logan O'Connor,20242025,COL,R,R,80,10,11,21,-4,26,0.26,10,20,0,0,0,1,0,1,89,11.2,14:07,38.6
Tyler Seguin,20242025,DAL,R,C,20,9,12,21,15,4,1.05,6,18,3,3,0,0,0,2,46,19.6,16:09,52.9
Brandon Duhaime,20242025,WSH,L,R,82,9,12,21,3,98,0.26,9,20,0,0,0,1,0,1,83,10.8,13:21,41.9
Justin Danforth,20242025,CBJ,R,R,61,9,12,21,-6,18,0.34,8,19,0,1,1,1,0,1,94,9.6,14:23,49.5
Jake Middleton,20242025,MIN,L,D,67,8,13,21,11,40,0.31,8,21,0,0,0,0,0,0,97,8.3,21:52,--
Colton Sissons,20242025,NSH,R,C,72,7,14,21,-12,22,0.29,7,20,0,1,0,0,0,0,80,8.8,14:22,54.8
Braden Schneider,20242025,NYR,R,D,80,6,15,21,9,18,0.26,5,19,0,0,1,2,1,1,95,6.3,17:52,--
Nick Jensen,20242025,OTT,R,D,71,3,18,21,18,6,0.3,3,21,0,0,0,0,0,0,77,3.9,20:13,--
Erik Cernak,20242025,TBL,R,D,76,3,18,21,29,50,0.28,3,19,0,0,0,2,0,0,64,4.7,18:16,--
Trevor van Riemsdyk,20242025,WSH,R,D,82,1,20,21,20,34,0.26,1,21,0,0,0,0,0,0,80,1.3,17:40,--
Adam Pelech,20242025,NYI,L,D,60,0,21,21,4,32,0.35,0,20,0,1,0,0,0,0,109,0,21:07,--
